	tweet	class
83	blackchiquitita wow rt thatmanpalmer im lost buttcheek piercings httptcoyn6guyouq6 yeah shes hoe	1
84	blacknerdjade ok sis shed rather broke bitch shrugs shell tell works	1
85	blackman38tide halelookyhere howdydowdy11 queer gaywad	0
86	brokenpiecesmsc itsnotadam faggot read tweets dat k wasnt even funny lol	1
87	brosconfessions bitch ungrateful httptco06e77bgwbx fr lulwhore	1
88	cashandboobies kidnapped yo bitch	1
89	cb_baby24 hite_thunduh alsarabsss hes beaner smh tell hes mexican	0
90	ccobey aydanmccoy happy birthday nigs thanks yo	1
91	chlldhoodruiner ur teacher tells u u homework bitch need go	1
92	caelang15 22edham caelang15 nigga eating hoe lol hell yea lol john paul nigga said john paul httptcoosipbkpr9h	1
93	canifuckornah would yall lil ugly bald headed bitches stop making makeup amp weave	1
94	carelessone92 leafs better win damn game go riot shit earlychristmas better start looting nig	1
95	causewereguys going back school sucks dick hoes attend	1
96	causewereguys way fuck yo bitch httptcoj906t5ze2r 9 year old	1
97	celeynichole hite_thunduh come never bring food dont car retard	1
98	chadmfverbeck richnow doesnt show hella tinder hoes im friend anymore chill brought like like 8 prople	1
99	chandlerparsons bout cowboys shutup pussy	1
100	clicquotsuave lmaooooooooooo nigga krillz_nuh_care httptcoaanpsujmyi ltbitch want likes depressing shitfoh	1
101	coley_cee lil_aerii girl know spitting g shit amp going lbvsbitch plz	1
102	coley_cee let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick	1
103	comedyposts harlem shake excuse go full retard 30 seconds	1
104	comedytruth amen miley 128591 httptcop2kb2tfyxrokay dont need act like hoe bc shes emotionally damaged foh	1
105	corybandz one loyal female wayyyyy better hoes idc 128175	1
106	crhedrys pussy licking pussy meow meow stopwhitepeople2014 128049 128533	1
107	dbab_holloway check 12th man cowboysnation even faggot ny fans stands	1
108	dgotbricks happen vixen ent bitches got ran threw side like foothill bitch	1
109	daedavidavie hite_thunduh im bitch okay nudes pat 128554128527128056 wow	1
110	devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway httptcoxuccwoetmn	0
111	diamondloudkush fuck wrong bitches nobody knows	1
112	dietrich1892 yall shut upp make bitch	1
113	dionairish hate im pregnant type bitch	1
114	doyou_q got bitches dm dont ever readem top 3	1
115	domworldpeace baseball season win yankees love started	2
116	dommoneek little stupid bitch dont fuck yoooooouuuu	1
117	dreadheadari really asked dead ass serious tho could say bitch wheet lol	1
118	dunderbail im early bird im night owl im wise worms	2
119	edgarpixar overdosing heavy drugs doesnt sound bad tonight pussy shit every day	2
120	el_grillo1 pit bulls photographed lovely fairy tale creatures httptcoq0sm89oolh8221 fairy tale creatures	2
121	ferocious_ghost 1stname_bravo aw fag dont tweet aw lol	1
122	flokid88 long lakers trash could careless thats real cc benballer hahaha	2
123	frosstyy_ h0rheyd didnt say anything tho kiss faggot	1
124	funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut httptcozuai7qwbir 128514 yup	2
125	g27status could go fat ass bitch lap	1
126	gedmelle 17 missed calls 128544128545das yo po bitch twitter finna screamn freemoneymelle	1
127	gtm_al ya side bitch got ta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao 128514128514128514128514	1
128	gagatom1 8220malefoot 3 amo los pies httptco4qe1hdkk8i8221 fuck yeah	1
129	girlthatsvonte hoes thinking meat wont slap ass 128564128075 ainna bruh	1
130	girlthatsvonte yall bitches wit edges talking 1285531285649995128514128514128514	1
131	girlthatsvonte yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit	1
132	girllssues wan na sex mom fuck right pussy came damn got hacked like fuck	1
133	gizzy_jones94 kiss u eyes open watch bitchlmfao	1
134	goofstroop woulda coulda shoulda ass hoe 128563128586	1
135	gotti_ltf happy bday bitch ass nigga jetsandaswisherpreciate bitch roll	1
136	hbmostdope 1jayee pipinhoes used send bitch	1
137	hbmostdope ugly bitches like im wcw duh bitch aint nobody elses128514128514	1
138	halotgmg 1stname_bravo nigga know hacky sack hoes nah throw look passes lmao	1
139	heartlessfuck glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em	1
140	hermosaalma isnt ghettoits smart im idc	2
141	hiimjorib would wife hoe cuz wouldnt care cheating force relationship first place	1
142	hornyfacts single isnt excuse hoe theonemiss_luu	1
143	hoskinsty96 white boy power bitch black power bitch	1
144	hudgens_11 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill	1
145	iscoutgirls verbally_abrupt bitch u around world back	1
146	itsyahboiray anelylove dont get dick sucked yo party bad bitch im fr gone set 128514128514128514128514 anelylove	1
147	itsyesie oomf soooo cute probably hoes lot	1
148	jayten9 every cartoon alway _nuffsaid15 saving hoes lmao httptco9ukd8wtz6x lmao damn captain saveahoe	1
149	jreebo wants get nose bad bois scally chav sockfetish stinking httptcofeqxgn0w6i hot sox legs	2
150	jamesynba wish bitch like brother keezy 128530 ooooow bet	1
151	jasminepore dressed cat halloween basic pussy	1
152	jewelxo pornhub get gaming stream feature dumb bitches gtfo pornhub get katielt3	1
153	joebudden stop scared choke sex u bitch ass niggas she8217ll like says guy hits women bed foh	1
154	johnny55perez hite_thunduh ha well iguess make hoes loyal bro theyll never loyal hoes nig	1
155	kazatta 1takehov oh man 5 molly ho fuck ya seed fixed	1
156	kelsiebelsi youre man refer every girl bitch	1
157	keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga	1
158	keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash	2
159	kingcuh 16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha	1
160	kinghendo95 vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne	1
161	kingteej_ ol dirty foot ass bitches funny	1
162	king_shawn_6 hite_thunduh thats get yellow flags amazing 128079128524 hell yeah niggy	1
163	kissmysmilee dont got time bitches actin iffy	1
164	knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut	2
165	kyranadiya_ hoes aint loyal aint httptcoh1ubsvbkgl smfh amp wonder nobody decent wants	1
166	lcistj bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe	1
167	lodycash dry pussy bitches always blame condom128514128079128514128079128514	1
168	lunaraps shut yo bitch ass 128557128514	1
169	laflaregodjosh gucci mane jail dropping mixtapes every month hoes cant even text back	1
170	latrobemark love hoes money wats wrong niggas	1
171	lebronvuitton loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol	1
172	lilfridayhoe easy cum easy hoe thats fact	1
173	lifeasbros charlie sheen real httptcogggdk3kov7 major fucking respect charlie sheen	1
174	lightskingawdd wish bae 128533 got hoes tho	1
175	lil_mike_12 fuck twerking bitch cook	1
176	linniekravitz esgodlaflare bitch wtf httptcodasmycxodb	1
177	lipe_the_great 8220h0rheyd lipe_the_great shut zoe fight pussy8221 zoe im good man good maam move along	1
178	lolaaisdope lmao fucking snake bitches em	1
179	loveable_aizah big booty hoes everywhere sheesh 128525 damn 127807128064127807	1
180	mlbnetwork stay tuned mlbnetwork update report yankees 1b teixeiramark25 810 weeks dliming35 bum	2
181	m_rad 8220dezdlt play soccer cheat girls wear khaki coloured cargos haircut httptcotycihd6pkw8221 yes lmfaosoccerboy_04	2
182	madflyentist oregon chokes every year get field trash ass program rft	1
183	mannydiesel def cowboy lol rt artoffloyd terrell owens best eagle amp cowboy ever dude cried like bitch tv romo	1
184	markroundtreejr lmfaoooo hate black people theres black people niggers	0
185	master11_ 20tolife_ gabrielastarr could u bitch potent	1
186	maxmayo77 httptco3jk4kr44x3 pissed lad past would lick dirty soles slept	2
187	maxmayo77 httptcoprrskknqrv love frat boy w soft long soles	2
188	maxmayo77 httptcoxpsc3makgj sexy lad hot soles arches	2
189	megamindnick hite_thunduh nah fam got ta cheat hoes depends female feel	1
190	mesha_nojas _vontethekidd 128079128079128079128079128588 got hicks lol	2
191	migsmichelen new twitter confusing shit go back south america bitch	1
192	miikito_x3 toto means ass vaginai think pussy cause toto santi like nasty pussy	1
193	mikelahenry actually choose ugly bitch 58381her ass must fat	1
194	mileycyrus bitch couldnt kill vibe ya tried 127752127752127752 dis love miley	1
195	montrell_ im tired bitches saying look mean 128530 nigga big af wear tight shirts grim everybody	1
196	motherjones 10 birds grandkids may never see thanks climate change httptcoxqmxhkaswt httptcorbitegrnhm climate	2
197	mvckfadden stay beautiful bitch	1
198	nickiminaj wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls	1
199	nastycopper money getting taller bitches getting blurry	1
200	newsomejade aint never seen bitch obsessed nigga128514 im obsessed mine 128529	1
201	nicholas_ted33 kobe stay talking trash lets forget httptcovh4tnekvtp j_austin12 meant one smh	1
202	nochillpaz least im nigger httptcorgja7cfoit lmfao	0
203	no_fakingg people always asking im mixed bad asian bitch lol	1
204	notoriousbm95 _whiteponyjr_ ariza snake coward least isnt cripple like hero roach lmaoo	0
205	osay_it_aint_so 8220ignorealllaws fosters home imaginary trash8221 whoa chill show everything tf	2
206	officialreplay lowkey tired tired quiet go sleep hoe	1
207	prayingforhead 8220macklemroe stop bringing weird niggers mentions prayingforhead8221 httptcocussdjesrk	1
208	prettyboss_brat dont love hoes 128080128581	1
209	patrickquelo yo girl cant homeboys ol weak bitch ass nigga	1
210	patsfanjoe32 d_palomino52 think worst advice gave dont pussy speed lol	1
211	poemsporn quote tweet favorite animalpussy	1
212	poetic_success hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper	1
213	poffalicious andrewbryant poff double vision 2 beers poff double pussy 128526 smh	1
214	prodsjewel_ 8220sreadthepeace 8220yungmindless peacepunkprince prince art httptcoephrwxmbhr8221 nobody takin bitch	1
215	quan1t0 61 welfaregovernment aid claimed white people yall black slander trash	2
216	quan1t0 bitches dont care play role	1
217	queen_kaaat took find hiding lime tree iemonaids dis bitch da wrong tree bro	1
218	22230122rachiesoul dizzleofficial inna di ghetto alone lmaoo	0
219	ramboutit 8220master11_ 20tolife_ ramboutit hoes austin8221 teach us austini teach u get curved thats know	2
220	reachtheeclimax bitches cant cook know suck dick ones	1
221	renegademo fat hoes get chose lol	1
222	riahsm hoesaintloyal well theyre hoesno one expects loyal	1
223	rishaawilliams treshon_scrooge _nevertrustt ol bitch ass httptcoamcoiny0wg	1
224	rnadjorell bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo	1
225	sactownprodigy tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck	1
226	samjlayman holy shit freddie highmore charlie chocolate factory rolls floor laughing	1
227	samirahusic_ dont want sex gf feel like im using anonymous whata faggot	1
228	sexualgxfs one followers 128525128553 httptcof1tjl9xnct somebody bitch dont	1
229	shaa_jenkins ya bitch always bitching clearly care annoying bitch	1
230	shantaughther catfish hoes thinkin slick niggas catching 128524	1
231	shewenttojordan cant worry bitch aint worried bout real	1
232	showarrive side hoes insecure niggas cant handle real one	1
233	shun_stokes 128514128514128514128514rt bluprint_4 lmao bitch come scooting tent like fuck shit 128557128557128557	1
234	shun_stokes cousin said share hoes brothers said sharing caring love brothers 128514	1
235	slimgirl_probz im hungry ionn wan na spend money food128530broke hoe problems 128514128514128514128128	1
236	smeegbaby dese hoes lyin us nigga	1
237	snakecharmsdump httptco4b427dqzcv oh yeah fuck bitch	1
238	sportscenter eli manning threw nflleading 27th interception season lmao trash	2
239	sportscenter usc senior rb anthony brown calls head coach steve sarkisian racist quits team 187 httptcojoosdsubir hes bitch	2
240	stellatex guess also zero time mansplaining adios stfu pussy	1
241	stephenwildboy chilling 1280698482 httptcomik3ipnle6 sexy scally lad	2
242	strap__ aint sharing bitch mines mines 128175	1
243	sukmysweetness money impress simple broke bitches	1
244	sylvieamx pisces never anybodys bitch dont let people control change rigghhht	1
245	tee_jonez 16stanleys kingcuh tuku ho idk blah blah blah 128514128514128514	2
246	tee_jonez kingcuh 16stanleys im mad cuh hahaha suure tuku ho ita 128514128514	2
247	tayknosbest hoes crazy	1
248	taylorr_babee aint ever gon na slice bitch kevin hart	1
249	thatniggatroy oomf fuckin fine tho 128553 dam dont bitch	1
250	thegamerkingkev wonder girl gave head 24 boys drink magaluf twitter probly sends nudes fags	1
251	thenewsat newsatquestions yeah bitch yeah bitch call _______ maybe b steveo c later jesse pinkman machinegunkelly	1
252	thenymphotweets hickies thighs right pussy gtgtgt right	1
253	theonemiss_luu would still love im longer young beautiful ugly monkey ass	1
254	therealrickyb21 jetsandaswisher gook____ yall come frontbitch aint coming	1
255	therealrickyb21 jetsandaswisher faggot bitch httptco2hyyabk4eh	1
256	the_realist_sam madrid2_ yea im ipad dont work friday lets ball faggot tropicalblanketi work 25	1
257	theo17100 httptcobyj1hoyhmg scally lad would get	2
258	theomaxximus gerryshalloweenparty httptco3ycrsrnjhc halloween yesterday stupid nigger	0
259	theomaxximus chrus still supahot tho walks teacher test drops test bitch fohead httptconb5vgdssgi	1
260	thornton25 8220kantkeepahbytch love eating pussy lol never get full lol8221 eat shit forever lol ever	1
261	tmacc_gfg 8220voiceofdstreetz tmacc_gfg 8220tizzimarie slushes 1285498221hoes nasty anyway fam1285648221them hoes taste like meds127815127815127868	1
262	tmacc_gfg 8220tizzimarie slushes 1285498221hoes nasty anyway fam128564	1
263	tmacc_gfg bobby bitchby bobbyshmurdags9 getting live fuck hell yea play hoe workout	1
264	trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner 128175128175 httptcolt9lijjpg9128514128514128514128514128514128514	1
265	tweetgamelazy ride bitch handle bars	1
266	tyjoncuffee aint hoe get traphoussseeeee	1
267	uberfacts 15 sad tv character deaths still bitter httptcoulclfuf8nc httptco1rxyqoosm0ned stark man	2
268	unholy_jack harbor bitches party bus hoes lol	1
269	vbomb20 oodchuck20 pussy love	1
270	veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey httptco533flbvwqh bitchy promo	1
271	vineforthebyrd way fuck bitch lmfao kittycopter	1
272	bur smuggler explains helped fighters along jihadi highway httptcoux4anxeawd	2
273	beezy_ quathegreat aww avis look cute together 128145 httptco9lporcb8w0 128128128128128128 got ta get ike avi bitch	1
274	beezy_ run_drc simple dont hoedont worry exposed 128540 fight mewhy	1
275	annabekanye whys bitch boosting httptcouod2f5wtkv size isnt exactly healthy tho	1
276	ithaprettyface _1nonlykeisha bet bitches 128514128080128299128299128298 128514128514 kim bye	1
277	x_xpdotjdot damn near got ta protect tweets stalkers annoying got dope dick drive bitches loco	1
278	xojennygirl im making marack girlfriend marackaf aye b pullin hoes like taught	1
279	xoxo__angiee bruno fag boy love	1
280	yehits_von 8220run_drc must bitch8221 128514128514128514 sike naw always beefing 128514	1
281	yankees 61 yankees look rally bottom 9th rallycap	2
282	youngricooo 8220exicanafro702 dont take advantage nice person8221 hoes everyjuan	1
283	youngricooo happy birthday bitch nigga exicanafro702 thanks pal	1
284	youngricooo sad knowing hoes wont fuck bc aint got stacks wait till friday	1
285	yungmigo shane_a1 cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca	1
286	zoebarton3 h0rheyd ewww said last sundayas last sunday read nigs128563128563128563128563128563	1
287	_bada_bing punch real niggas face cause pussy nigga gon na punch right back strong mush shake	1
288	_beedontcare pussy still fresh lt something stank girls say	1
289	_geewillikers_ ass slapping one greatest things haha 128527 slapped girl ass got mad aint get pussy week	1
290	_tommycollins earerichnow buffalobills yeah texans much better fucking retard see youre mad	1
291	__malibubarbie nd wtf dark bitches blonde please several seats hoe looking like blackampmilds	1
292	__sugga theres lane bitches need stay 128526 left n get right fuck outta face 128557128129128536	1
293	__sneakyb hate boys deny bitches 128080128553 smh	1
294	__taradise__ ya nigs still saying yall dont eat butt straight face	1
295	__yourewelcome im boss ass bitch needs sit corner	1
296	_iwantfranny hes hoe cant	1
297	_prettyflvck0 paul thinkin bout gettin rentals da weekend 128665128168128168oooh shit bitches betta stay da streets	1
298	_rapdreams bitches hold nigga get locked nigga go college military different story 128564	1
299	_simplycaitlin friends hate ratchet hoe	1
300	adriwadrri love fuck niggas hoes	1
301	airmaxlad1 hot meat httptcobrz8imk5vk sexy fuck scally lad would love meet trainers	1
302	airmaxlad1 sniff httptcofhhbbrmybn perved scally lad fuck yeah	1
303	alejandra_p13 bitches love sosa	1
304	alexissixela__ 8220hite_thunduh legit watched 30 40 seconds 1285298221so wtf prob cause retarded smh	1
305	allisonnamaya_ name cat ideas mr pussy	1
306	altosteel115 httptcotm28mh5xg2 woof woof sexy thug boy scally	1
307	ambitiousbree _1nonlykeisha u see damn phone ringing 128547128530128542 married bitches makes demands havent called	1
308	analicialouise tevin favorite sophomore think hes funny hes really lmaoo hes little hoe	1
309	angelenagoley 10 sex positions httptcont3pabmwsm httptcojmhz8sczf0naw u call fucking soul outta bitch 128557	1
310	ashlingwilde itsnotadam bored supposed cute faggot sometimes	0
311	ayyee_ceee_ one mans trash 128686 another mans treasure 127942	2
312	babineaux_ dont got type bad bitches thing like iongotnotype	1
313	bigbootybishopp hite_thunduh lassen cc coach wants feel youll get nig doubt	0
314	bleedingtrap god teeth gold chain white bitches cocaine	1
315	cheetahbluntz_ hoe hoe128129 shhhhh	1
316	chieflottahoes dc call rollers chiraq call thots across america known hoe	1
317	clayton_jenn99 im gon na miss bitch bus driverno wont dont lie	1
318	coltforty2gone hate bitches try put friendzone bitch im tryin score put endzone 128293128293128293 soul	1
319	complex_uk ashley young tried deny bird landed mouth gt httptcomlr5ewgonk hahaha	2
320	datfullerkid trevaughnlg yall gimped aint tht bitch huh lol	1
321	deepthroatmike boys_south take ride 128525128139 httptcoh5matjyfgaredneck woof woof	2
322	demi_eggleton oh god love victoria mitchell bitches love	1
323	djsliime long distance shit wack knew bitch cheating uh oh	1
324	fiirting hes right 128525128120128158 httptcojzkkivuvjc bitches smh	1
325	fatboyswagg347 ban dat pussy life amp got ta pay 25 millon dollar fine	1
326	fuckcamoclark roses red violets blue niggers black know thats true dylan72892	1
327	g0rillaz0e sitting window sill window open bird tries fly smacked protecttheanimals peta	2
328	glowstruck nigga gon nigga nigga sound fuckin retarded	1
329	greggutfeld video entire media likely mock httptcoxfr1crxwsm crybaby	2
330	gurl_im_angie itskiaraaaa estyourmajesty im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup	1
331	haitian__gold tim tebow got cut every team nfl already got hoes starkville smh 128514128514128514128514	1
332	hazelebaby karma bitch damn godprotectshisangels 128588 sips tea	1
333	hornyjhb fuckin hot gym pussy httptcozvymcxquta fuck yeah	1
334	hxhassan jihadi patron hajjaj alajmi arrested kuwait airport	2
335	iampickuplines call fireman cause turn hoes	1
336	icrawley could never bby lil dick thts got abortion last bitch oh god	1
337	idntwearcondoms watch women try argue like dick actually fucked pussy hate bitches	1
338	ilgdaily smoke weed public fuck cops man wan na dont run come retarded	1
339	itrapwatermelon tweety bird tho 128514128514128514128514	2
340	irlfatty pussy sweet like watermelon httptcosklph3ttog thotermelon	1
341	itscoleharmon_ twitter rappers dm trash links httptco35nmr4auqg	2
342	jsadass loud bitches annoy	1
343	jacaxeltlu eventually every bitch turns hoe truuu	1
344	jaimescudi_ tonybthrz_ jaimescudi_ swear oomf try talking tomorrow barackobama pussy	1
345	jama_jam bitches pretending tf crazy aint never lied	1
346	jasmyncyniquee hite_thunduh k bye hoe um bye	1
347	jayswaggkillah jackies retard blondeproblems least make grilled cheese	0
348	jboii2 ima keep giving pussy ass niggas ah reason hate	1
349	jethromass photo httptcocxrs5bvhpw sole heaven	2
350	jgabsss stacey dash 128166 httptcopdlg46rjol baddest bitch evaaaa	0
351	juicyyyjayyyy side bitch sunday 128514128514128514 128514128514128514	1
352	k_eazy26 facts baldheaded bitch made shit 128074128074128555128530 httptcofdyojpt9xg lmao 128553128514	1
353	kayreneeee_ fuck wit us tweakin hoe shmurda	1
354	kazooook actin like 7th day esgodlaflare httptcos9gmtevpat 128123spook	2
355	kikistfu ill break lil bitch neck wont even feel sorry savage	1
356	leikant fucking hot scally sneakersex sockfetish sniff trainersex httptcotubivxbxco love kinky scallies	1
357	likemicah yall dumb ass niggas pressed hoes yall weak fuck fuck weed hoes oreos	1
358	lildurk_ turn yo bitch eaterrrrrrrrr	1
359	lildurk_ dont trust dese hoes nikki told 51st stay fans screen shot asap finna come chiraq shoot sumn	1
360	marackaf 8220hite_thunduh aye yall ima tryout bowling team frfr8221 tryouts passed tho theres two retard	1
361	maybe6789 u got u want bitch enjoy httptcoglqzwtgmj9 crazy party would love attend	1
362	metroadlib colored contacts eyes blinders mine cause cant see lmao	2
363	michelle_westt facts poonsoaker dudes hoes say dont got hoes8221 j_austin12	1
364	midywidey_ im rea start smacking bitches period bluffin best	1
365	molssyo lifes bitch die thats get high cause neva know youre gon na go sister perfect	1
366	molssyo one us drugs youre still wrong 128514 currieburry hahahahahahah im bitch sometimes	1
367	morgandaylee im feeling pretty fuckin ghetto smh	1
368	nohands_24 20tolife_ nohands_24 dejaaleeann_ b_coleman2 swears im 1 man easily easily behind austin nip	2
369	obey_jrock__ true ride die bitch 128175 httptcobkwhx83fkw fuck hahahahah	1
370	oldpicsarchive hgwells charlie chaplin httptcostiddhk3wt history photography	2
371	ortiz_jaylene see brunos bitch ass twitter wtf brunos sees drake voice	1
372	ozzie_garza hite_thunduh im cool faggot chill tf cool nigga	1
373	ozzie_garza hite_thunduh im sure bitch frfr tf	1
374	poppunksucks twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet	1
375	queendulaaa got couple bitches saying know i8217ma let money talk 128526128076 im like wwyd	1
376	realfortes grudges weirdosand bitches	1
377	rhythmixx_ told mariam cigarettes birthday also called trash rn	2
378	riananewman 22edham brownies tonight kind	2
379	rollyup23 text back dont give fuck ill text another bitch damn someone hurt lol	1
380	ronald_iongi ummmmmm okay httptco4bvlsci5k5 got hoes left right 128514128514 yah thang	1
381	royalswagg_ using ymxb find slope ass	1
382	rugbysocklad fit lads nice gear httptcothnxx1lc1m scally lads n trainers would get	2
383	rugbysocklad hell yeah bro httptco9yib45ud6c fuck yeah sexy scally lad hot gear	1
384	rugbysocklad helping mate httptcoemnado1qoj love scally play fuck yeah	1
385	rugbysocklad lads lads httptcof3ujcyj4of fuck yeah love scally lad action hot trainers	1
386	savage_twotone next year bitches gon na like got ta promise wont expose 128514128514128557	1
387	scallynikelad 8220sleazytwinks hot rt opcinjen lick bitch httptcojloukqdcom8221 fuck yeah eat trainer u dirty fucker	1
388	sierrabernia 8220t2g_cincokilby yall think celebrity pussy different locals 1285148221 yeah meghan goods	1
389	sleepy_yongguk saw ajumma walk beginning saying wow trash cant even listen 128514 lmaoo	2
390	sniffsockslad need sox httptcoxydb1rchxh fuck yeah love kinky scally lad w rank sox sneaks	1
391	snoleezey801 dont ever expose females like thats childish bitch nigga shiiii	1
392	socass_ 00sexilexi00 socass_ yasss trys new things bestfriend bitch love	1
393	socass_ dude remember wop video 00sexilexi00 httptcop3heuboqbu omg find	2
394	soxandjox thick raw fuck httptcog8rvuhcebn damn man pussy getting workout	1
395	soxdawg rawr rt skinrubberboi sexy french scally love frenchscally httptco5idq3r5akz sexy scally woof woof	2
